,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,BIH,Europe,Bosnia and Herzegovina,2020-03-06,2.0,2.0,,0.0,0.61,0.61,,0.0,,,,,,,,11.11,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
1,BIH,Europe,Bosnia and Herzegovina,2020-03-12,3.0,1.0,,0.0,0.914,0.305,,0.0,,,,,,,,40.28,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
2,BIH,Europe,Bosnia and Herzegovina,2020-03-13,3.0,0.0,,0.0,0.914,0.0,,0.0,,,,,,,,40.28,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
3,BIH,Europe,Bosnia and Herzegovina,2020-03-14,,,,,,,,,,,,,,,,40.28,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
4,BIH,Europe,Bosnia and Herzegovina,2020-03-15,,,,,,,,,,,,,,,,40.28,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
5,BIH,Europe,Bosnia and Herzegovina,2020-03-16,18.0,15.0,,0.0,5.486000000000001,4.572,,0.0,,,,,,,,45.83,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
6,BIH,Europe,Bosnia and Herzegovina,2020-03-17,21.0,3.0,,0.0,6.401,0.914,,0.0,,,,,,,,70.83,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
7,BIH,Europe,Bosnia and Herzegovina,2020-03-18,30.0,9.0,,0.0,9.144,2.7430000000000003,,0.0,,,,,,,,77.78,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
8,BIH,Europe,Bosnia and Herzegovina,2020-03-19,35.0,5.0,,0.0,10.668,1.524,,0.0,,,,,,,,77.78,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
9,BIH,Europe,Bosnia and Herzegovina,2020-03-20,44.0,9.0,,0.0,13.411,2.7430000000000003,,0.0,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
10,BIH,Europe,Bosnia and Herzegovina,2020-03-21,62.0,18.0,,0.0,18.898,5.486000000000001,,0.0,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
11,BIH,Europe,Bosnia and Herzegovina,2020-03-22,92.0,30.0,1.0,1.0,28.041999999999998,9.144,0.305,0.305,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
12,BIH,Europe,Bosnia and Herzegovina,2020-03-23,125.0,33.0,1.0,0.0,38.1,10.058,0.305,0.0,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
13,BIH,Europe,Bosnia and Herzegovina,2020-03-24,131.0,6.0,1.0,0.0,39.929,1.829,0.305,0.0,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
14,BIH,Europe,Bosnia and Herzegovina,2020-03-25,164.0,33.0,2.0,1.0,49.988,10.058,0.61,0.305,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
15,BIH,Europe,Bosnia and Herzegovina,2020-03-26,173.0,9.0,3.0,1.0,52.731,2.7430000000000003,0.914,0.305,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
16,BIH,Europe,Bosnia and Herzegovina,2020-03-27,213.0,40.0,3.0,0.0,64.923,12.192,0.914,0.0,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
17,BIH,Europe,Bosnia and Herzegovina,2020-03-28,233.0,20.0,4.0,1.0,71.01899999999999,6.096,1.219,0.305,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
18,BIH,Europe,Bosnia and Herzegovina,2020-03-29,257.0,24.0,5.0,1.0,78.334,7.315,1.524,0.305,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
19,BIH,Europe,Bosnia and Herzegovina,2020-03-30,323.0,66.0,6.0,1.0,98.45100000000001,20.117,1.829,0.305,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
20,BIH,Europe,Bosnia and Herzegovina,2020-03-31,353.0,30.0,8.0,2.0,107.595,9.144,2.438,0.61,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
21,BIH,Europe,Bosnia and Herzegovina,2020-04-01,413.0,60.0,12.0,4.0,125.883,18.288,3.658,1.219,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
22,BIH,Europe,Bosnia and Herzegovina,2020-04-02,464.0,51.0,13.0,1.0,141.428,15.545,3.9619999999999997,0.305,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
23,BIH,Europe,Bosnia and Herzegovina,2020-04-03,532.0,68.0,17.0,4.0,162.155,20.726999999999997,5.182,1.219,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
24,BIH,Europe,Bosnia and Herzegovina,2020-04-04,586.0,54.0,18.0,1.0,178.614,16.459,5.486000000000001,0.305,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
25,BIH,Europe,Bosnia and Herzegovina,2020-04-05,632.0,46.0,21.0,3.0,192.635,14.020999999999999,6.401,0.914,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
26,BIH,Europe,Bosnia and Herzegovina,2020-04-06,663.0,31.0,24.0,3.0,202.084,9.449,7.315,0.914,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
27,BIH,Europe,Bosnia and Herzegovina,2020-04-07,695.0,32.0,28.0,4.0,211.838,9.754,8.533999999999999,1.219,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
28,BIH,Europe,Bosnia and Herzegovina,2020-04-08,781.0,86.0,32.0,4.0,238.051,26.213,9.754,1.219,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
29,BIH,Europe,Bosnia and Herzegovina,2020-04-09,816.0,35.0,35.0,3.0,248.71900000000002,10.668,10.668,0.914,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
30,BIH,Europe,Bosnia and Herzegovina,2020-04-10,875.0,59.0,36.0,1.0,266.702,17.983,10.972999999999999,0.305,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
31,BIH,Europe,Bosnia and Herzegovina,2020-04-11,901.0,26.0,37.0,1.0,274.627,7.925,11.277999999999999,0.305,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
32,BIH,Europe,Bosnia and Herzegovina,2020-04-12,948.0,47.0,37.0,0.0,288.953,14.325999999999999,11.277999999999999,0.0,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
33,BIH,Europe,Bosnia and Herzegovina,2020-04-13,1007.0,59.0,38.0,1.0,306.936,17.983,11.582,0.305,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
34,BIH,Europe,Bosnia and Herzegovina,2020-04-14,1028.0,21.0,38.0,0.0,313.337,6.401,11.582,0.0,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
35,BIH,Europe,Bosnia and Herzegovina,2020-04-15,1073.0,45.0,39.0,1.0,327.053,13.716,11.887,0.305,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
36,BIH,Europe,Bosnia and Herzegovina,2020-04-16,1100.0,27.0,40.0,1.0,335.283,8.23,12.192,0.305,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
37,BIH,Europe,Bosnia and Herzegovina,2020-04-17,1152.0,52.0,41.0,1.0,351.13199999999995,15.85,12.497,0.305,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
38,BIH,Europe,Bosnia and Herzegovina,2020-04-18,1210.0,58.0,44.0,3.0,368.811,17.679000000000002,13.411,0.914,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
39,BIH,Europe,Bosnia and Herzegovina,2020-04-19,1254.0,44.0,45.0,1.0,382.222,13.411,13.716,0.305,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
40,BIH,Europe,Bosnia and Herzegovina,2020-04-20,1269.0,15.0,46.0,1.0,386.79400000000004,4.572,14.020999999999999,0.305,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
41,BIH,Europe,Bosnia and Herzegovina,2020-04-21,1300.0,31.0,48.0,2.0,396.24300000000005,9.449,14.630999999999998,0.61,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
42,BIH,Europe,Bosnia and Herzegovina,2020-04-22,1340.0,40.0,50.0,2.0,408.435,12.192,15.24,0.61,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
43,BIH,Europe,Bosnia and Herzegovina,2020-04-23,1367.0,27.0,52.0,2.0,416.665,8.23,15.85,0.61,,,,,,,,92.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
44,BIH,Europe,Bosnia and Herzegovina,2020-04-24,1413.0,46.0,53.0,1.0,430.686,14.020999999999999,16.155,0.305,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
45,BIH,Europe,Bosnia and Herzegovina,2020-04-25,1420.0,7.0,54.0,1.0,432.819,2.134,16.459,0.305,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
46,BIH,Europe,Bosnia and Herzegovina,2020-04-26,1485.0,65.0,56.0,2.0,452.631,19.812,17.069000000000003,0.61,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
47,BIH,Europe,Bosnia and Herzegovina,2020-04-27,1516.0,31.0,58.0,2.0,462.08,9.449,17.679000000000002,0.61,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
48,BIH,Europe,Bosnia and Herzegovina,2020-04-28,1564.0,48.0,60.0,2.0,476.711,14.630999999999998,18.288,0.61,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
49,BIH,Europe,Bosnia and Herzegovina,2020-04-29,1588.0,24.0,62.0,2.0,484.026,7.315,18.898,0.61,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
50,BIH,Europe,Bosnia and Herzegovina,2020-04-30,1689.0,101.0,64.0,2.0,514.811,30.785,19.507,0.61,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
51,BIH,Europe,Bosnia and Herzegovina,2020-05-01,1757.0,68.0,68.0,4.0,535.538,20.726999999999997,20.726999999999997,1.219,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
52,BIH,Europe,Bosnia and Herzegovina,2020-05-02,1782.0,25.0,69.0,1.0,543.158,7.62,21.031,0.305,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
53,BIH,Europe,Bosnia and Herzegovina,2020-05-03,1840.0,58.0,71.0,2.0,560.836,17.679000000000002,21.641,0.61,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
54,BIH,Europe,Bosnia and Herzegovina,2020-05-04,1857.0,17.0,76.0,5.0,566.018,5.182,23.165,1.524,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
55,BIH,Europe,Bosnia and Herzegovina,2020-05-05,1926.0,69.0,77.0,1.0,587.049,21.031,23.47,0.305,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
56,BIH,Europe,Bosnia and Herzegovina,2020-05-06,1946.0,20.0,78.0,1.0,593.145,6.096,23.775,0.305,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
57,BIH,Europe,Bosnia and Herzegovina,2020-05-07,1986.0,40.0,84.0,6.0,605.337,12.192,25.603,1.829,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
58,BIH,Europe,Bosnia and Herzegovina,2020-05-08,2027.0,41.0,90.0,6.0,617.8340000000001,12.497,27.432,1.829,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
59,BIH,Europe,Bosnia and Herzegovina,2020-05-09,2070.0,43.0,98.0,8.0,630.941,13.106,29.871,2.438,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
60,BIH,Europe,Bosnia and Herzegovina,2020-05-10,2092.0,22.0,101.0,3.0,637.646,6.706,30.785,0.914,,,,,,,,90.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
61,BIH,Europe,Bosnia and Herzegovina,2020-05-11,2117.0,25.0,107.0,6.0,645.266,7.62,32.614000000000004,1.829,,,,,,,,81.48,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
62,BIH,Europe,Bosnia and Herzegovina,2020-05-12,2142.0,25.0,112.0,5.0,652.887,7.62,34.138000000000005,1.524,,,,,,,,81.48,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
63,BIH,Europe,Bosnia and Herzegovina,2020-05-13,2158.0,16.0,116.0,4.0,657.763,4.877,35.357,1.219,,,,,,,,81.48,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
64,BIH,Europe,Bosnia and Herzegovina,2020-05-14,2181.0,23.0,120.0,4.0,664.7739999999999,7.01,36.576,1.219,,,,,,,,79.63,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
65,BIH,Europe,Bosnia and Herzegovina,2020-05-15,2216.0,35.0,123.0,3.0,675.442,10.668,37.491,0.914,,,,,,,,76.85,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
66,BIH,Europe,Bosnia and Herzegovina,2020-05-16,2237.0,21.0,127.0,4.0,681.8430000000001,6.401,38.71,1.219,,,,,,,,76.85,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
67,BIH,Europe,Bosnia and Herzegovina,2020-05-17,2267.0,30.0,129.0,2.0,690.987,9.144,39.319,0.61,,,,,,,,76.85,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
68,BIH,Europe,Bosnia and Herzegovina,2020-05-18,2289.0,22.0,132.0,3.0,697.692,6.706,40.234,0.914,,,,,,,,76.85,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
69,BIH,Europe,Bosnia and Herzegovina,2020-05-19,2303.0,14.0,132.0,0.0,701.96,4.2669999999999995,40.234,0.0,,,,,,,,76.85,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
70,BIH,Europe,Bosnia and Herzegovina,2020-05-20,2319.0,16.0,133.0,1.0,706.837,4.877,40.539,0.305,,,,,,,,76.85,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
71,BIH,Europe,Bosnia and Herzegovina,2020-05-21,2334.0,15.0,135.0,2.0,711.409,4.572,41.148,0.61,,,,,,,,71.3,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
72,BIH,Europe,Bosnia and Herzegovina,2020-05-22,2352.0,18.0,139.0,4.0,716.895,5.486000000000001,42.368,1.219,,,,,,,,71.3,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
73,BIH,Europe,Bosnia and Herzegovina,2020-05-23,2372.0,20.0,141.0,2.0,722.9910000000001,6.096,42.977,0.61,,,,,,,,71.3,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
74,BIH,Europe,Bosnia and Herzegovina,2020-05-24,2391.0,19.0,141.0,0.0,728.7819999999999,5.791,42.977,0.0,,,,,,,,71.3,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
75,BIH,Europe,Bosnia and Herzegovina,2020-05-25,2400.0,9.0,143.0,2.0,731.5260000000001,2.7430000000000003,43.586999999999996,0.61,,,,,,,,71.3,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
76,BIH,Europe,Bosnia and Herzegovina,2020-05-26,2405.0,5.0,145.0,2.0,733.05,1.524,44.196000000000005,0.61,,,,,,,,71.3,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
77,BIH,Europe,Bosnia and Herzegovina,2020-05-27,2415.0,10.0,149.0,4.0,736.0980000000001,3.048,45.416000000000004,1.219,,,,,,,,71.3,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
78,BIH,Europe,Bosnia and Herzegovina,2020-05-28,2434.0,19.0,150.0,1.0,741.8889999999999,5.791,45.72,0.305,,,,,,,,71.3,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
79,BIH,Europe,Bosnia and Herzegovina,2020-05-29,2462.0,28.0,152.0,2.0,750.423,8.533999999999999,46.33,0.61,,,,,,,,65.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,,10.08,30.2,47.7,97.164,3.5,77.4
