,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,GIN,Africa,Guinea,2020-03-14,1.0,1.0,,0.0,0.076,0.076,,0.0,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
1,GIN,Africa,Guinea,2020-03-15,1.0,0.0,,0.0,0.076,0.0,,0.0,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
2,GIN,Africa,Guinea,2020-03-17,1.0,0.0,,0.0,0.076,0.0,,0.0,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
3,GIN,Africa,Guinea,2020-03-18,1.0,0.0,,0.0,0.076,0.0,,0.0,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
4,GIN,Africa,Guinea,2020-03-19,1.0,0.0,,0.0,0.076,0.0,,0.0,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
5,GIN,Africa,Guinea,2020-03-20,1.0,0.0,,0.0,0.076,0.0,,0.0,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
6,GIN,Africa,Guinea,2020-03-21,2.0,1.0,,0.0,0.152,0.076,,0.0,,,,,,,,25.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
7,GIN,Africa,Guinea,2020-03-22,2.0,0.0,,0.0,0.152,0.0,,0.0,,,,,,,,25.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
8,GIN,Africa,Guinea,2020-03-23,2.0,0.0,,0.0,0.152,0.0,,0.0,,,,,,,,25.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
9,GIN,Africa,Guinea,2020-03-24,2.0,0.0,,0.0,0.152,0.0,,0.0,,,,,,,,25.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
10,GIN,Africa,Guinea,2020-03-25,4.0,2.0,,0.0,0.305,0.152,,0.0,,,,,,,,25.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
11,GIN,Africa,Guinea,2020-03-26,4.0,0.0,,0.0,0.305,0.0,,0.0,,,,,,,,25.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
12,GIN,Africa,Guinea,2020-03-27,5.0,1.0,,0.0,0.381,0.076,,0.0,,,,,,,,71.3,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
13,GIN,Africa,Guinea,2020-03-28,5.0,0.0,,0.0,0.381,0.0,,0.0,,,,,,,,71.3,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
14,GIN,Africa,Guinea,2020-03-29,8.0,3.0,,0.0,0.609,0.228,,0.0,,,,,,,,71.3,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
15,GIN,Africa,Guinea,2020-03-30,8.0,0.0,,0.0,0.609,0.0,,0.0,,,,,,,,78.7,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
16,GIN,Africa,Guinea,2020-03-31,16.0,8.0,,0.0,1.218,0.609,,0.0,,,,,,,,78.7,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
17,GIN,Africa,Guinea,2020-04-01,16.0,0.0,,0.0,1.218,0.0,,0.0,,,,,,,,78.7,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,,2.42,,,17.45,0.3,61.6
