,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,COD,Africa,Democratic Republic of Congo,2020-03-11,1.0,1.0,,0.0,0.011000000000000001,0.011000000000000001,,0.0,,,,,,,,11.11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
1,COD,Africa,Democratic Republic of Congo,2020-03-14,2.0,1.0,,0.0,0.022000000000000002,0.011000000000000001,,0.0,,,,,,,,11.11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
2,COD,Africa,Democratic Republic of Congo,2020-03-15,2.0,0.0,,0.0,0.022000000000000002,0.0,,0.0,,,,,,,,11.11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
3,COD,Africa,Democratic Republic of Congo,2020-03-16,2.0,0.0,,0.0,0.022000000000000002,0.0,,0.0,,,,,,,,11.11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
4,COD,Africa,Democratic Republic of Congo,2020-03-17,3.0,1.0,,0.0,0.033,0.011000000000000001,,0.0,,,,,,,,11.11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
5,COD,Africa,Democratic Republic of Congo,2020-03-18,3.0,0.0,,0.0,0.033,0.0,,0.0,,,,,,,,19.44,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
6,COD,Africa,Democratic Republic of Congo,2020-03-19,14.0,11.0,,0.0,0.156,0.12300000000000001,,0.0,,,,,,,,52.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
7,COD,Africa,Democratic Republic of Congo,2020-03-20,14.0,0.0,,0.0,0.156,0.0,,0.0,,,,,,,,55.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
8,COD,Africa,Democratic Republic of Congo,2020-03-21,14.0,0.0,,0.0,0.156,0.0,,0.0,,,,,,,,55.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
9,COD,Africa,Democratic Republic of Congo,2020-03-22,23.0,9.0,1.0,1.0,0.257,0.1,0.011000000000000001,0.011000000000000001,,,,,,,,58.33,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
10,COD,Africa,Democratic Republic of Congo,2020-03-23,26.0,3.0,2.0,1.0,0.29,0.033,0.022000000000000002,0.011000000000000001,,,,,,,,58.33,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
11,COD,Africa,Democratic Republic of Congo,2020-03-24,26.0,0.0,2.0,0.0,0.29,0.0,0.022000000000000002,0.0,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
12,COD,Africa,Democratic Republic of Congo,2020-03-25,45.0,19.0,3.0,1.0,0.502,0.212,0.033,0.011000000000000001,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
13,COD,Africa,Democratic Republic of Congo,2020-03-26,45.0,0.0,3.0,0.0,0.502,0.0,0.033,0.0,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
14,COD,Africa,Democratic Republic of Congo,2020-03-27,54.0,9.0,4.0,1.0,0.603,0.1,0.045,0.011000000000000001,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
15,COD,Africa,Democratic Republic of Congo,2020-03-28,58.0,4.0,4.0,0.0,0.648,0.045,0.045,0.0,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
16,COD,Africa,Democratic Republic of Congo,2020-03-29,58.0,0.0,6.0,2.0,0.648,0.0,0.067,0.022000000000000002,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
17,COD,Africa,Democratic Republic of Congo,2020-03-30,81.0,23.0,8.0,2.0,0.904,0.257,0.08900000000000001,0.022000000000000002,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
18,COD,Africa,Democratic Republic of Congo,2020-03-31,98.0,17.0,8.0,0.0,1.094,0.19,0.08900000000000001,0.0,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
19,COD,Africa,Democratic Republic of Congo,2020-04-01,98.0,0.0,8.0,0.0,1.094,0.0,0.08900000000000001,0.0,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
20,COD,Africa,Democratic Republic of Congo,2020-04-02,123.0,25.0,11.0,3.0,1.3730000000000002,0.27899999999999997,0.12300000000000001,0.033,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
21,COD,Africa,Democratic Republic of Congo,2020-04-03,123.0,0.0,11.0,0.0,1.3730000000000002,0.0,0.12300000000000001,0.0,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
22,COD,Africa,Democratic Republic of Congo,2020-04-04,134.0,11.0,13.0,2.0,1.496,0.12300000000000001,0.145,0.022000000000000002,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
23,COD,Africa,Democratic Republic of Congo,2020-04-05,154.0,20.0,18.0,5.0,1.719,0.223,0.201,0.055999999999999994,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
24,COD,Africa,Democratic Republic of Congo,2020-04-06,154.0,0.0,18.0,0.0,1.719,0.0,0.201,0.0,,,,,,,,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
25,COD,Africa,Democratic Republic of Congo,2020-04-07,161.0,7.0,18.0,0.0,1.798,0.078,0.201,0.0,,,,,,,,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
26,COD,Africa,Democratic Republic of Congo,2020-04-08,180.0,19.0,18.0,0.0,2.01,0.212,0.201,0.0,,64.0,,0.001,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
27,COD,Africa,Democratic Republic of Congo,2020-04-09,183.0,3.0,20.0,2.0,2.043,0.033,0.223,0.022000000000000002,,98.0,,0.001,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
28,COD,Africa,Democratic Republic of Congo,2020-04-10,215.0,32.0,20.0,0.0,2.401,0.35700000000000004,0.223,0.0,,127.0,,0.001,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
29,COD,Africa,Democratic Republic of Congo,2020-04-11,223.0,8.0,20.0,0.0,2.49,0.08900000000000001,0.223,0.0,,122.0,,0.001,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
30,COD,Africa,Democratic Republic of Congo,2020-04-12,234.0,11.0,20.0,0.0,2.613,0.12300000000000001,0.223,0.0,,,,,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
31,COD,Africa,Democratic Republic of Congo,2020-04-13,234.0,0.0,20.0,0.0,2.613,0.0,0.223,0.0,,68.0,,0.001,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
32,COD,Africa,Democratic Republic of Congo,2020-04-14,235.0,1.0,20.0,0.0,2.6239999999999997,0.011000000000000001,0.223,0.0,,197.0,,0.002,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
33,COD,Africa,Democratic Republic of Congo,2020-04-15,254.0,19.0,21.0,1.0,2.8360000000000003,0.212,0.23399999999999999,0.011000000000000001,,206.0,,0.002,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
34,COD,Africa,Democratic Republic of Congo,2020-04-16,267.0,13.0,22.0,1.0,2.9810000000000003,0.145,0.24600000000000002,0.011000000000000001,,141.0,,0.002,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
35,COD,Africa,Democratic Republic of Congo,2020-04-17,287.0,20.0,23.0,1.0,3.205,0.223,0.257,0.011000000000000001,,300.0,,0.003,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
36,COD,Africa,Democratic Republic of Congo,2020-04-18,307.0,20.0,25.0,2.0,3.428,0.223,0.27899999999999997,0.022000000000000002,,297.0,,0.003,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
37,COD,Africa,Democratic Republic of Congo,2020-04-19,327.0,20.0,25.0,0.0,3.6510000000000002,0.223,0.27899999999999997,0.0,,127.0,,0.001,191.0,0.002,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
38,COD,Africa,Democratic Republic of Congo,2020-04-20,332.0,5.0,25.0,0.0,3.707,0.055999999999999994,0.27899999999999997,0.0,,86.0,,0.001,193.0,0.002,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
39,COD,Africa,Democratic Republic of Congo,2020-04-21,350.0,18.0,25.0,0.0,3.908,0.201,0.27899999999999997,0.0,,123.0,,0.001,183.0,0.002,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
40,COD,Africa,Democratic Republic of Congo,2020-04-22,359.0,9.0,25.0,0.0,4.008,0.1,0.27899999999999997,0.0,,119.0,,0.001,170.0,0.002,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
41,COD,Africa,Democratic Republic of Congo,2020-04-23,377.0,18.0,25.0,0.0,4.209,0.201,0.27899999999999997,0.0,,74.0,,0.001,161.0,0.002,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
42,COD,Africa,Democratic Republic of Congo,2020-04-24,394.0,17.0,25.0,0.0,4.399,0.19,0.27899999999999997,0.0,,136.0,,0.002,137.0,0.002,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
43,COD,Africa,Democratic Republic of Congo,2020-04-25,416.0,22.0,28.0,3.0,4.645,0.24600000000000002,0.313,0.033,,190.0,,0.002,122.0,0.001,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
44,COD,Africa,Democratic Republic of Congo,2020-04-26,442.0,26.0,28.0,0.0,4.935,0.29,0.313,0.0,,,,,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
45,COD,Africa,Democratic Republic of Congo,2020-04-27,459.0,17.0,28.0,0.0,5.125,0.19,0.313,0.0,,70.0,,0.001,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
46,COD,Africa,Democratic Republic of Congo,2020-04-28,471.0,12.0,30.0,2.0,5.2589999999999995,0.134,0.335,0.022000000000000002,,187.0,,0.002,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
47,COD,Africa,Democratic Republic of Congo,2020-04-29,491.0,20.0,30.0,0.0,5.482,0.223,0.335,0.0,,126.0,,0.001,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
48,COD,Africa,Democratic Republic of Congo,2020-04-30,500.0,9.0,31.0,1.0,5.582999999999999,0.1,0.34600000000000003,0.011000000000000001,,,,,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
49,COD,Africa,Democratic Republic of Congo,2020-05-01,572.0,72.0,31.0,0.0,6.3870000000000005,0.804,0.34600000000000003,0.0,,238.0,,0.003,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
50,COD,Africa,Democratic Republic of Congo,2020-05-02,604.0,32.0,32.0,1.0,6.744,0.35700000000000004,0.35700000000000004,0.011000000000000001,,164.0,,0.002,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
51,COD,Africa,Democratic Republic of Congo,2020-05-03,674.0,70.0,33.0,1.0,7.526,0.782,0.368,0.011000000000000001,,,,,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
52,COD,Africa,Democratic Republic of Congo,2020-05-04,684.0,10.0,34.0,1.0,7.6370000000000005,0.11199999999999999,0.38,0.011000000000000001,,121.0,,0.001,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
53,COD,Africa,Democratic Republic of Congo,2020-05-05,684.0,0.0,34.0,0.0,7.6370000000000005,0.0,0.38,0.0,,,,,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
54,COD,Africa,Democratic Republic of Congo,2020-05-06,705.0,21.0,34.0,0.0,7.872000000000001,0.23399999999999999,0.38,0.0,,374.0,,0.004,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
55,COD,Africa,Democratic Republic of Congo,2020-05-07,863.0,158.0,36.0,2.0,9.636000000000001,1.764,0.402,0.022000000000000002,,270.0,,0.003,,,samples tested,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,,6.1,,,4.4719999999999995,,60.68
